Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,4237.924625578704,13809.522374421296,Exceeded,9571.597748842592
2015-11-30,Expected Increase,3457.20504224537,-1573.9944589120369,Failed,5031.199501157407
2015-12-31,Expected Increase,713.287945023148,3387.3241799768516,Exceeded,2674.0362349537036
2016-04-30,Expected Increase,2330.735583912038,-3104.8072505787045,Failed,5435.542834490742
2016-06-30,Expected Increase,0.6944589120369642,-2391.6900422453705,Failed,2392.3845011574076
2016-09-30,Expected Increase,4237.924625578704,-6766.573042245371,Failed,11004.497667824075
2016-11-30,Expected Increase,3457.20504224537,48.47408275463067,Failed,3408.730959490739
2016-12-31,Expected Increase,713.287945023148,361.6282216435188,Failed,351.6597233796292
2017-04-30,Expected Increase,2330.735583912038,1735.2067494212965,Failed,595.5288344907412
2017-06-30,Expected Increase,0.6944589120369642,2727.62395775463,Exceeded,2726.9294988425927
2017-09-30,Expected Increase,4237.924625578704,-6427.16279224537,Failed,10665.087417824074
2017-11-30,Expected Increase,3457.20504224537,2141.3069160879627,Failed,1315.8981261574072
2017-12-31,Expected Increase,713.287945023148,-3133.165861689814,Failed,3846.453806712962
2018-04-30,Expected Increase,2330.735583912038,1985.387041087964,Failed,345.3485428240738
2018-06-30,Expected Increase,0.6944589120369642,279.85262442129687,Exceeded,279.1581655092599
2015-10-31,Expected Drop,-2875.552943865741,-389.00763946759207,Exceeded,2486.545304398149
2016-01-31,Expected Drop,-1621.1409855324073,1071.266735532407,Exceeded,2692.4077210648143
2016-02-29,Expected Drop,-1090.9332355324073,-2747.889764467593,Below Expected,1656.9565289351858
2016-03-31,Expected Drop,-572.3326383101855,-2520.158028356481,Below Expected,1947.8253900462953
2016-05-31,Expected Drop,-76.3798049768522,1081.3769299768521,Exceeded,1157.7567349537044
2016-07-31,Expected Drop,-3176.1242841435187,1456.9518674768522,Exceeded,4633.076151620371
2016-08-31,Expected Drop,-1327.383763310185,2786.535096643519,Exceeded,4113.918859953704
2016-10-31,Expected Drop,-2875.552943865741,119.32794386574096,Exceeded,2994.880887731482
2017-01-31,Expected Drop,-1621.1409855324073,-3538.867347800925,Below Expected,1917.7263622685177
2017-02-28,Expected Drop,-1090.9332355324073,4797.238568865741,Exceeded,5888.171804398149
2017-03-31,Expected Drop,-572.3326383101855,4598.488554976852,Exceeded,5170.821193287038
2017-05-31,Expected Drop,-76.3798049768522,2537.735388310185,Exceeded,2614.115193287037
2017-07-31,Expected Drop,-3176.1242841435187,-1046.427507523148,Exceeded,2129.6967766203707
2017-08-31,Expected Drop,-1327.383763310185,-2376.0107366898146,Below Expected,1048.6269733796296
2017-10-31,Expected Drop,-2875.552943865741,885.4662355324072,Exceeded,3761.019179398148
2018-01-31,Expected Drop,-1621.1409855324073,3083.387152199074,Exceeded,4704.528137731481
2018-02-28,Expected Drop,-1090.9332355324073,-1433.5622644675923,Below Expected,342.62902893518503
2018-03-31,Expected Drop,-572.3326383101855,-1462.5439866898143,Below Expected,890.2113483796288
2018-05-31,Expected Drop,-76.3798049768522,-3003.325778356481,Below Expected,2926.945973379629
Total,N/A,N/A,N/A,Expected Increase but Failed Total,44392.33191550926
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,15251.721648148148
Total,N/A,N/A,N/A,Below Expected Drop Total,10730.92160532407
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,42346.93794444445
